date_only,avg_sentiment,post_count,stock
2021-01-28,-0.049383132530120485,249,GME
2021-01-29,-0.009403877551020408,2940,GME
2021-01-30,0.0596596551724138,290,GME
2021-01-31,0.08208686440677966,236,GME
2021-02-01,0.04446881188118812,202,GME
2021-02-02,0.09262193548387097,310,GME
2021-02-03,0.04464533582089552,536,GME
2021-02-04,0.054220333333333336,300,GME
2021-02-05,0.03200018181818182,550,GME
2021-02-06,0.0625642972536349,619,GME
2021-02-07,0.19159851851851853,135,GME
2021-02-08,0.099025,56,GME
2021-02-09,0.08504687500000001,32,GME
2021-02-10,-0.09789772727272728,44,GME
2021-02-11,0.11284705882352941,17,GME
2021-02-12,-0.10092857142857141,7,GME
2021-02-13,0.053378947368421054,19,GME
2021-02-14,0.004985714285714292,14,GME
2021-02-15,-0.011099999999999999,2,GME
2021-02-16,-0.050449999999999995,2,GME
2021-02-17,-0.13376923076923075,13,GME
2021-02-18,0.08000833333333333,24,GME
2021-02-19,0.08482121212121213,33,GME
2021-02-20,0.09982692307692308,26,GME
2021-02-21,0.04440399999999999,25,GME
2021-02-22,0.031035714285714285,14,GME
2021-02-23,0.03448,35,GME
2021-02-24,0.094652,25,GME
2021-02-25,0.08216346153846153,52,GME
2021-02-26,0.1579344262295082,122,GME
2021-02-27,0.11125254237288136,59,GME
2021-02-28,0.10385862068965517,29,GME
2021-03-01,0.14161428571428572,28,GME
2021-03-02,0.09551587301587301,63,GME
2021-03-03,0.09727234042553191,94,GME
2021-03-04,0.05913230769230769,65,GME
2021-03-05,0.07152727272727272,66,GME
2021-03-06,-0.01793846153846154,65,GME
2021-03-07,0.08855217391304347,23,GME
2021-03-08,0.12420952380952381,21,GME
2021-03-09,0.15356,70,GME
2021-03-10,0.1418201550387597,129,GME
2021-03-11,0.11690655737704919,122,GME
2021-03-12,0.04122727272727273,66,GME
2021-03-13,0.10566511627906976,43,GME
2021-03-14,0.14200333333333334,30,GME
2021-03-15,0.13684,15,GME
2021-03-16,0.10389534883720931,43,GME
2021-03-17,0.12720204081632652,49,GME
2021-03-18,-0.012439999999999998,30,GME
2021-03-19,-0.0024939393939393886,33,GME
2021-03-20,0.09515,24,GME
2021-03-21,0.16047142857142857,7,GME
2021-03-22,-0.04532222222222223,9,GME
2021-03-23,0.07495,14,GME
2021-03-24,0.14011333333333334,30,GME
2021-03-25,0.07199411764705883,34,GME
2021-03-26,0.08222564102564103,39,GME
2021-03-27,0.07685,20,GME
2021-03-28,0.13075,6,GME
2021-03-29,0.16576,5,GME
2021-03-30,0.1015857142857143,7,GME
2021-03-31,0.1147,4,GME
2021-04-01,-0.08398000000000001,10,GME
2021-04-02,0.1262,8,GME
2021-04-03,0.4682666666666666,3,GME
2021-04-04,0.27815,2,GME
2021-04-05,0.0,3,GME
2021-04-06,0.20898000000000003,5,GME
2021-04-07,0.23948,5,GME
2021-04-08,0.21163333333333334,6,GME
2021-04-09,0.11512941176470588,17,GME
2021-04-10,0.17349285714285714,14,GME
2021-04-11,0.31995999999999997,5,GME
2021-04-12,0.07500000000000002,7,GME
2021-04-13,0.06684444444444444,9,GME
2021-04-14,0.14525454545454547,11,GME
2021-04-15,0.08475714285714285,7,GME
2021-04-16,0.22057500000000002,8,GME
2021-04-17,0.43644999999999995,10,GME
2021-04-18,0.0,1,GME
2021-04-20,0.05115,2,GME
2021-04-21,0.14338,5,GME
2021-04-22,0.0,2,GME
2021-04-23,-0.5334,1,GME
2021-04-24,0.0,2,GME
2021-04-27,-0.05435555555555556,9,GME
2021-04-28,-0.1909,2,GME
2021-04-29,0.0903,4,GME
2021-04-30,0.15935000000000002,2,GME
2021-05-01,0.1366,2,GME
2021-05-06,0.0903,4,GME
2021-05-07,0.23739999999999994,9,GME
2021-05-08,0.15694999999999998,2,GME
2021-05-09,0.0,1,GME
2021-05-10,-0.032,4,GME
2021-05-11,0.4203333333333334,3,GME
2021-05-12,-0.004559999999999997,5,GME
2021-05-13,-0.28595,2,GME
2021-05-14,0.37372,5,GME
2021-05-15,0.45405,2,GME
2021-05-18,0.23013333333333333,3,GME
2021-05-19,0.15079999999999996,3,GME
2021-05-21,0.0,1,GME
2021-05-22,0.4189833333333333,6,GME
2021-05-23,0.0,1,GME
2021-05-24,0.2732,1,GME
2021-05-25,-0.743,1,GME
2021-05-26,-0.09010833333333333,12,GME
2021-05-27,0.289075,12,GME
2021-05-28,0.0422,8,GME
2021-05-29,0.0,1,GME
2021-05-30,-0.36106666666666665,3,GME
2021-06-10,0.14507142857142855,7,GME
2021-06-11,0.13872,10,GME
2021-06-12,0.09328750000000001,8,GME
2021-06-15,0.4019,1,GME
2021-06-16,0.14401999999999998,5,GME
2021-06-17,0.205075,4,GME
2021-06-18,0.22503333333333334,3,GME
2021-06-19,0.6564,2,GME
2021-06-20,0.2732,1,GME
2021-06-21,0.0,1,GME
2021-06-22,0.21516666666666664,3,GME
2021-06-23,0.42669999999999997,4,GME
2021-06-24,-0.1042,5,GME
2021-06-25,0.27446666666666664,3,GME
2021-06-26,0.11199999999999999,2,GME
2021-06-29,0.30824999999999997,4,GME
2021-06-30,0.34895,2,GME
2021-07-01,0.4019,1,GME
2021-07-02,0.190775,4,GME
2021-07-03,0.4019,1,GME
2021-07-05,0.4215,1,GME
2021-07-06,0.2502285714285714,7,GME
2021-07-07,0.4215,1,GME
2021-07-08,0.41169999999999995,2,GME
2021-07-09,0.41169999999999995,2,GME
2021-07-10,0.4019,1,GME
2021-07-12,0.6428,2,GME
2021-07-13,0.4019,1,GME
2021-07-14,0.12536666666666665,3,GME
2021-07-15,0.12011666666666665,6,GME
2021-07-16,0.23662,5,GME
2021-07-17,-0.3182,1,GME
2021-07-19,0.21075,2,GME
2021-07-20,0.6124,1,GME
2021-08-02,0.34735,2,GME
2021-08-03,0.3149,3,GME
2021-08-04,0.09204,5,GME
2021-08-05,0.36985,2,GME
2021-08-09,0.21075,2,GME
2021-08-11,0.0,1,GME
2021-08-12,0.0,1,GME
