date_only,avg_sentiment,post_count,stock
2021-01-29,-0.3902833333333333,6,TSLA
2021-01-30,0.256575,4,TSLA
2021-02-01,0.11504999999999999,2,TSLA
2021-02-02,-0.1045,1,TSLA
2021-02-03,-0.08565,6,TSLA
2021-02-05,0.10560000000000001,3,TSLA
2021-02-06,0.0,3,TSLA
2021-02-07,0.3991,4,TSLA
2021-02-08,0.34825,2,TSLA
2021-02-10,-0.3632,1,TSLA
2021-02-11,0.0,1,TSLA
2021-02-12,0.0,1,TSLA
2021-02-13,-0.06583333333333335,3,TSLA
2021-02-14,-0.13396666666666665,3,TSLA
2021-02-17,0.05723333333333333,3,TSLA
2021-02-18,-0.06535,4,TSLA
2021-02-20,0.34,1,TSLA
2021-02-21,0.0,1,TSLA
2021-02-23,-0.056175,4,TSLA
2021-02-24,-0.0876,11,TSLA
2021-02-25,0.0,3,TSLA
2021-02-26,0.0,1,TSLA
2021-03-01,0.0,1,TSLA
2021-03-02,0.3612,1,TSLA
2021-03-03,0.0,3,TSLA
2021-03-04,-0.005100000000000001,7,TSLA
2021-03-05,-0.0012333333333333393,9,TSLA
2021-03-06,0.1253625,8,TSLA
2021-03-07,0.023400000000000015,3,TSLA
2021-03-08,0.34,1,TSLA
2021-03-09,0.154825,4,TSLA
2021-03-10,0.16375833333333334,12,TSLA
2021-03-11,0.25,1,TSLA
2021-03-12,0.38295,2,TSLA
2021-03-14,0.03340000000000001,2,TSLA
2021-03-16,0.128,1,TSLA
2021-03-19,0.2612666666666667,3,TSLA
2021-03-20,-0.1591,2,TSLA
2021-03-22,-0.1671,4,TSLA
2021-03-23,0.0,1,TSLA
2021-03-24,0.3818,1,TSLA
2021-03-25,0.0,1,TSLA
2021-03-26,0.0,1,TSLA
2021-03-30,0.5719,1,TSLA
2021-04-01,0.1108,2,TSLA
2021-04-02,0.013119999999999998,5,TSLA
2021-04-03,0.0,2,TSLA
2021-04-05,-0.03619999999999999,3,TSLA
2021-04-06,0.2423,3,TSLA
2021-04-09,0.10115,2,TSLA
2021-04-14,0.09013333333333334,6,TSLA
2021-04-15,-0.1355333333333333,3,TSLA
2021-04-16,0.4253,2,TSLA
2021-04-17,0.1909,2,TSLA
2021-04-20,-0.03510000000000002,2,TSLA
2021-04-22,0.099525,4,TSLA
2021-04-24,0.0,1,TSLA
2021-04-25,0.0,1,TSLA
2021-04-27,0.0,1,TSLA
2021-04-28,-0.802,1,TSLA
2021-04-30,0.6124,1,TSLA
2021-05-01,0.03080000000000001,3,TSLA
2021-05-06,-0.20095,2,TSLA
2021-05-07,0.4019,1,TSLA
2021-05-08,0.0,1,TSLA
2021-05-10,0.0,1,TSLA
2021-05-11,0.4221,2,TSLA
2021-05-12,0.0,1,TSLA
2021-05-13,0.0,1,TSLA
2021-05-14,0.23453999999999997,5,TSLA
2021-05-18,0.17020000000000002,3,TSLA
2021-05-20,0.0,1,TSLA
2021-05-24,-0.1027,1,TSLA
2021-05-25,0.35150000000000003,2,TSLA
2021-05-26,0.34,2,TSLA
2021-05-27,0.21833333333333335,3,TSLA
2021-05-29,0.3818,1,TSLA
2021-06-11,0.5154,2,TSLA
2021-06-18,0.38915,2,TSLA
2021-06-19,0.0,1,TSLA
2021-06-21,0.0,1,TSLA
2021-06-22,0.4019,1,TSLA
2021-06-23,0.5267,1,TSLA
2021-06-24,0.100475,4,TSLA
2021-06-25,0.21369,10,TSLA
2021-06-26,0.21306666666666665,3,TSLA
2021-06-29,0.17695,4,TSLA
2021-06-30,0.0,2,TSLA
2021-07-01,0.17765999999999998,5,TSLA
2021-07-03,0.11199999999999999,2,TSLA
2021-07-07,0.0,1,TSLA
2021-07-09,0.2732,1,TSLA
2021-07-11,0.2732,1,TSLA
2021-07-13,0.4019,1,TSLA
2021-07-14,0.4019,1,TSLA
2021-07-15,0.0,1,TSLA
2021-07-16,0.4019,1,TSLA
2021-07-18,-0.2732,1,TSLA
2021-07-19,0.0,1,TSLA
2021-08-02,0.0,2,TSLA
2021-08-03,0.4215,1,TSLA
2021-08-04,0.4939,1,TSLA
2021-08-11,0.7299,1,TSLA
